172.24.0.7 - - [23/Oct/2017:06:40:03 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.8 - - [26/Oct/2017:10:05:00 +0000] "POST /task HTTP/1.0" 302 197 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [26/Oct/2017:11:57:36 +0000] "GET / HTTP/1.0" 500 1363 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [26/Oct/2017:11:59:50 +0000] "GET / HTTP/1.0" 500 1363 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [26/Oct/2017:12:02:58 +0000] "GET / HTTP/1.0" 200 1214 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [27/Oct/2017:08:27:04 +0000] "GET / HTTP/1.0" 200 1213 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [27/Oct/2017:08:27:21 +0000] "GET / HTTP/1.0" 200 1243 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [27/Oct/2017:08:29:45 +0000] "POST /task HTTP/1.0" 500 2583 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [27/Oct/2017:08:30:21 +0000] "POST /task HTTP/1.0" 500 2552 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [27/Oct/2017:08:30:55 +0000] "POST /task HTTP/1.0" 302 197 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [27/Oct/2017:08:31:55 +0000] "POST /task HTTP/1.0" 500 2552 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [27/Oct/2017:13:24:09 +0000] "GET / HTTP/1.0" 404 132 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [27/Oct/2017:13:24:30 +0000] "GET / HTTP/1.0" 404 132 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [27/Oct/2017:17:44:28 +0000] "GET /task/delall HTTP/1.0" 405 2125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [27/Oct/2017:17:45:18 +0000] "GET /task/delall HTTP/1.0" 405 2125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.24.0.9 - - [27/Oct/2017:17:45:38 +0000] "GET /task/delall HTTP/1.0" 405 2125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0"
172.18.0.8 - - [04/Nov/2017:08:40:08 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
172.18.0.8 - - [04/Nov/2017:08:45:26 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
172.18.0.8 - - [04/Nov/2017:08:45:44 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
172.18.0.8 - - [04/Nov/2017:08:45:46 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
172.18.0.9 - - [04/Nov/2017:08:47:52 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
172.18.0.8 - - [04/Nov/2017:08:56:35 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
172.18.0.8 - - [04/Nov/2017:08:57:14 +0000] "GET /tests HTTP/1.0" 404 2077 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
172.18.0.8 - - [04/Nov/2017:08:59:12 +0000] "POST /task HTTP/1.0" 302 197 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
172.18.0.8 - - [04/Nov/2017:08:59:29 +0000] "POST /task HTTP/1.0" 500 3593 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
172.18.0.8 - - [04/Nov/2017:08:59:36 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://laravel-quickstart.local/task" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
172.18.0.9 - - [04/Nov/2017:09:02:51 +0000] "GET / HTTP/1.0" 200 1308 "http://laravel-quickstart.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
